" in rows: "," in rijen:"
"%s file does not exists or is not readable","%s bestand bestaat niet of is niet leesbaar"
"-- Please Select --","-- Selecteer a.u.b. --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter moet een isntantie zijn van Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Adapterobject moet een instance zijn van %s"
"Adapter type must be a non empty string","Adapter-type mag geen lege string zijn"
"Append Complex Data","Complexe data toevoegen"
"Attribute Code","Attribuutcode"
"Attribute Label","Attribuutlabel"
"Attribute does not has options, so filtering is impossible","Attribuut heeft niet de juiste opties, filteren is niet mogelijk"
"Begin data validation","Start data validate"
"Begin export of %s","Start export van %s"
"Begin import of ""%s"" with ""%s"" behavior","Start import van ""%s"", gedrag:""%s"""
"CSV","CSV"
"Can not determine attribute filter type","Kan attribuut-filter-type niet bepalen"
"Can not find required columns: ","Kan verplichte kolommen niet vinden:"
"Can not find required columns: %s","Kan de verplichte kolommen niet vinden: %s"
"Can not get autoincrement value","Kan auto-increment waarde niet ophalen"
"Cannot get autoincrement value","Kan geen autoincrement waarde ophalen"
"Check Data","Controleer data"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Rijen gecontroleerd: %s, gecontroleerde entiteiten: %s, ongeldige regels %s, totaal aantal fouten: %s"
"Column names have duplicates","Kolomnamen bevatten duplicaten"
"Column names is empty or is not an array","Kolomnamen zijn leeg of is geen array"
"Column names: ""%s"" are invalid","Kolomnamen: ""%s"" zijn ongeldig"
"Continue","Ga verder"
"Customers","Klanten"
"Data is invalid or file is not uploaded","Data is ongeldig of bestand is niet geupload"
"Delete Entities","Verwijder entiteiten"
"Destination directory is not writable","Doelmap is niet schrijfbaar"
"Destination file is not writable","Doelbestand is niet schrijfbaar"
"Destination file path must be a string","Doelbestand-pad moet een string zijn"
"Disabling this setting can increase security risk.","Als u deze instelling uitschakelt, kan het beveiligingsrisico toenemen.","1.9.2.4+","1.9.3.7+"
"Done import data validation","Klaar met importvalidatie"
"Duplicate Unique Attribute for '%s'","Duplicate unieke waarden voor %s"
"Entity Attributes","Entity Attributen"
"Entity Type","Entiteit soort"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Entiteit adapter object moet een instance zijn van Mage_ImportExport_Model_Export_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entity adapter object moet een instance zijn van Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entity is niet bekend"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entity type model moet een instance zijn van Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entity type model moet een instance zijn van Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Fout in data structuur: gedrag is verschillend"
